,department_Human Resources,department_Research & Development,department_Sales,educationfield_Human Resources,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Female,gender_Male,jobrole_Healthcare Representative,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Divorced,maritalstatus_Married,maritalstatus_Single,education,joblevel,stockoptionlevel,environmentsatisfaction,worklifebalance,jobsatisfaction,jobinvolvement,performancerating,businesstravel,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,attrition
10,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,45,17,79910,0,13,21,2,20,4,10,8.13349397590361,0
11,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,36,28,33770,0,12,16,2,15,10,11,6.841839580544167,0
12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,1.0,0.0,4.0,3.0,1.0,3.0,3.0,1.0,55,14,55380,0,17,37,2,36,4,13,8.55430834448889,0
13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,47,1,57620,1,11,10,4,10,9,9,8.8714212405175,1
14,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0,1.0,0.0,4.0,2.0,4.0,3.0,3.0,1.0,28,1,25920,1,14,5,2,5,0,4,5.894035029004722,0
15,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,37,1,53460,4,11,7,2,5,0,1,6.382033690316666,0
16,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,21,3,42130,1,12,3,3,3,1,0,6.034225792056945,0
17,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,35,7,24380,7,16,10,5,7,6,2,6.4850557786700005,0
18,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,38,8,68700,1,11,8,5,8,7,7,8.6217324854975,0
19,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,26,1,104470,1,18,6,3,6,1,4,7.0725323516286105,0
20,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,50,8,96670,3,23,28,2,10,1,6,5.622517849174445,0
21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0,53,11,21480,3,11,21,2,5,1,3,7.828470548861945,0
22,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,42,4,89260,1,14,10,4,20,11,6,6.615643685854444,0
23,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,29,16,65130,1,11,10,2,10,0,9,6.580408299866111,0
24,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,1.0,0.0,2.0,3.0,4.0,3.0,3.0,1.0,55,1,67990,3,11,12,2,10,0,8,9.0612148594375,0
25,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,37,5,27050,1,11,17,2,17,5,7,7.207425256581667,0
26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,1.0,0.0,4.0,3.0,4.0,2.0,3.0,1.0,38,2,44480,9,12,10,3,2,1,2,6.310013386880833,0
27,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,26,4,68540,2,11,5,5,3,0,2,9.662807898259445,1
28,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3.0,1.0,0.0,4.0,3.0,4.0,2.0,3.0,1.0,28,7,96370,1,13,5,6,5,0,2,6.521040829986389,0
29,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,2.0,49,1,35910,9,13,22,2,3,1,2,9.88458723784,0
30,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,36,5,54050,4,14,10,2,8,7,7,6.033902275769722,0
31,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,31,9,46840,1,16,2,4,2,2,2,6.348326639892777,0
32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,26,8,157870,1,12,8,5,8,7,4,9.57092369477889,1
33,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,37,9,15140,1,14,4,3,4,1,2,9.702093931280555,0
34,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.0,3.0,0.0,3.0,4.0,2.0,3.0,3.0,2.0,42,2,29560,5,13,23,2,20,4,8,5.5232954038374995,0
35,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,18,1,23350,1,14,0,3,0,0,0,6.177288041053056,1
36,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,1.0,35,20,51540,0,19,12,2,11,6,9,7.381318607764166,0
37,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,36,8,69620,4,12,4,2,1,0,0,7.060059125390278,0
38,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,1.0,51,2,56750,5,13,13,2,4,1,2,7.167754350736112,0
39,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,4.0,3.0,2.0,3.0,3.0,1.0,41,29,23790,1,12,22,6,22,0,4,6.757186523873056,0
40,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,1.0,18,7,38120,1,15,0,3,0,0,0,6.755545515394722,0
41,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,28,9,46480,0,23,9,2,8,0,7,7.056963409192222,0
42,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,31,8,29360,4,12,10,2,8,7,7,6.913614457831112,0
43,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,2.0,0.0,3.0,2.0,4.0,3.0,4.0,1.0,39,5,21050,0,20,19,3,18,3,7,7.207423025435,0
44,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,1.0,0.0,2.0,3.0,2.0,3.0,4.0,0.0,36,5,85780,7,21,11,4,9,0,8,7.455297858098889,0
45,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,32,2,27060,1,21,13,4,13,4,8,6.358520749665278,0
46,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,38,5,63840,3,19,19,4,10,0,1,6.323954707719722,0
47,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,31,20,99070,0,13,6,3,5,0,3,8.685874609549167,0
48,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,31,7,132250,3,21,9,2,2,1,0,6.557103971441111,0
49,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,45,3,35400,1,13,24,6,24,9,11,6.934087460954722,0
50,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,31,16,28040,0,19,3,0,2,2,2,8.43789045069139,0
51,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,33,9,193920,6,12,12,3,10,8,8,6.457864792503334,0
52,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,4.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,43,7,24390,0,15,9,2,8,1,7,7.007448683623333,0
53,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,1.0,49,1,73140,7,22,25,2,7,0,7,9.709125390450556,0
54,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,52,7,47740,2,18,11,2,8,7,7,7.5880365908075,1
55,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,32,1,26620,1,11,13,6,13,11,9,10.074638554216666,0
56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,27,13,28560,1,12,5,5,5,0,4,9.341363230700557,0
57,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,31,24,10810,4,11,13,4,7,1,7,6.447809013833056,0
58,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,1.0,2.0,4.0,3.0,3.0,1.0,32,7,24720,7,13,10,2,7,0,7,7.136569611780279,0
59,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,30,13,41970,1,13,11,3,10,1,9,5.762560240963611,0
60,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,31,2,97130,1,17,10,5,10,8,9,6.025345827755277,0
61,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,39,19,20620,1,13,21,4,21,13,3,5.5637918340025,0
62,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,39,1,42840,4,17,12,0,1,0,0,9.851604194555833,1
63,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,33,4,47880,3,11,9,0,7,0,1,7.2128168228466665,0
64,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0,0.0,4.0,3.0,3.0,4.0,4.0,1.0,47,4,59060,4,23,21,4,3,1,1,6.337332663989167,0
65,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,43,14,38860,1,17,9,2,9,0,0,5.945283355644722,0
66,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,27,2,168230,0,17,6,3,5,1,4,8.643457161981111,0
67,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,54,1,29330,3,12,20,2,4,0,3,5.681542838018611,0
68,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,43,7,65000,8,23,10,3,1,0,0,6.8984895136097215,0
69,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,45,3,171740,9,14,12,6,10,9,8,6.900469656403334,0
70,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,40,2,50330,2,14,6,6,4,0,2,9.197425256581667,0
71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,29,29,23070,1,13,7,0,7,0,7,9.678278670236388,1
72,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,29,8,25870,0,22,4,3,3,2,2,6.6295515394911115,0
73,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,30,10,55070,1,12,10,2,10,1,2,7.070961624274722,0
74,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,27,11,43930,1,18,8,2,8,0,7,5.957641677822222,0
75,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4.0,2.0,0.0,4.0,2.0,4.0,3.0,3.0,1.0,37,1,133480,7,14,8,4,6,0,4,5.687801204819167,0
76,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,1.0,38,28,65830,0,12,12,1,11,2,9,8.730585676037222,0
77,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,31,6,81030,1,15,11,5,11,4,10,9.965590138330832,0
78,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.0,3.0,0.0,4.0,3.0,2.0,3.0,3.0,1.0,29,3,39780,1,11,7,0,7,1,7,8.219101963409166,0
79,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,35,16,25440,0,13,17,3,16,0,13,7.403634538152501,0
80,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0,1.0,0.0,3.0,2.0,4.0,2.0,4.0,1.0,23,20,53990,1,23,4,2,4,0,2,6.762868139223333,0
81,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,41,9,54870,6,19,8,0,5,1,2,9.29953145917,0
82,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,47,1,68340,3,16,5,2,0,0,0,7.458285363676667,0
83,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4.0,1.0,0.0,1.0,3.0,4.0,1.0,4.0,1.0,42,3,10910,2,22,16,0,1,0,0,5.981423471664167,0
84,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.0,2.0,0.0,4.0,2.0,3.0,2.0,4.0,0.0,29,22,57360,1,22,4,1,4,0,2,5.900896921017223,0
85,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,42,7,22260,0,12,4,3,3,1,0,8.086752565818612,0
86,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,32,2,57470,1,13,8,0,8,0,7,7.164133199464445,0
87,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,48,13,98540,3,16,15,2,0,0,0,6.847280232039166,0
88,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,0.0,30,25,53800,7,21,4,0,2,2,2,10.234273761713332,0
89,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,26,28,51510,1,15,8,3,8,7,7,5.849885095939166,0
90,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,42,2,21330,3,13,14,2,1,0,0,5.867603748326389,0
91,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,4.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,21,9,178750,1,12,3,5,3,1,2,7.970253235162778,1
92,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,4.0,3.0,4.0,1.0,4.0,0.0,36,28,24320,4,22,7,4,1,0,0,6.807350513163611,0
93,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,36,6,47710,4,13,16,2,13,1,12,6.791153502900277,0
94,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.0,5.0,0.0,4.0,3.0,3.0,1.0,3.0,1.0,57,21,191610,2,18,15,2,3,1,2,5.971953369031667,0
95,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,40,8,50870,3,14,10,3,7,1,7,7.606198125836666,0
96,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,2.0,0.0,1.0,2.0,4.0,1.0,3.0,0.0,21,1,28630,1,14,3,2,3,2,2,7.344952030343333,0
97,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0,5.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,33,28,55610,1,21,1,3,1,0,0,9.749403168228332,1
98,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,4.0,0.0,3.0,3.0,1.0,4.0,3.0,1.0,37,5,21440,6,19,17,3,5,0,3,7.4154562695225,0
99,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,46,2,30650,2,11,7,3,1,0,0,5.588887773315277,0
100,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0.0,1.0,3.0,2.0,4.0,3.0,2.0,41,16,28100,1,11,8,3,8,7,7,7.100332440874444,1
101,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,3.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,50,9,98880,6,15,20,2,4,1,3,6.3645537706380555,0
102,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,4.0,1.0,40,8,86280,2,20,8,2,6,1,0,8.735999553770554,1
103,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,21,10,53730,1,12,1,2,1,0,0,5.537753235162778,1
104,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,29,1,66670,9,12,6,6,3,1,2,7.663491744756667,0
105,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,35,29,50030,9,15,10,2,1,0,0,7.314774654172222,0
106,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,27,2,23670,0,12,5,2,5,0,4,5.816591923248333,0
107,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0,3.0,0.0,2.0,3.0,4.0,2.0,3.0,1.0,28,2,28580,1,12,7,2,7,0,7,6.634467871485833,0
108,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,49,2,52040,8,14,26,3,5,0,0,7.542354975457222,0
109,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,51,1,41050,4,22,18,2,7,0,7,6.9768016510486115,0
110,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,1.0,36,15,96790,4,12,6,1,2,2,2,5.640869031682222,0
111,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,0.0,34,7,56170,8,25,9,3,5,0,4,8.600741856313888,1
112,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,1.0,55,26,104480,2,13,30,3,5,1,2,8.230750780901111,0
113,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,24,1,28970,1,18,5,4,5,0,3,9.230603525211945,0
